"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight","data_points","footnote","min_year_acquired"
"260308","1097546","3","","9999","Quantity not specified","90000","244","","",""
"241053","1097546","2","","9999","1 fl oz","30000","30.5","","",""
"237106","1097546","1","","9999","1 cup","10205","244","","",""
"260309","1097547","3","","9999","Quantity not specified","90000","244","","",""
"241054","1097547","2","","9999","1 fl oz","30000","30.5","","",""
"237107","1097547","1","","9999","1 cup","10205","244","","",""
"260310","1097548","5","","9999","Quantity not specified","90000","244","","",""
"254035","1097548","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253788","1097548","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241055","1097548","2","","9999","1 fl oz","30000","30.5","","",""
"237108","1097548","1","","9999","1 cup","10205","244","","",""
"260311","1097549","5","","9999","Quantity not specified","90000","244","","",""
"254036","1097549","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253789","1097549","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241056","1097549","2","","9999","1 fl oz","30000","30.5","","",""
"237109","1097549","1","","9999","1 cup","10205","244","","",""
"260312","1097550","5","","9999","Quantity not specified","90000","244","","",""
"254037","1097550","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253790","1097550","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241057","1097550","2","","9999","1 fl oz","30000","30.5","","",""
"237110","1097550","1","","9999","1 cup","10205","244","","",""
"260313","1097551","5","","9999","Quantity not specified","90000","244","","",""
"254038","1097551","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253791","1097551","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241058","1097551","2","","9999","1 fl oz","30000","30.5","","",""
"237111","1097551","1","","9999","1 cup","10205","244","","",""
"260314","1097552","5","","9999","Quantity not specified","90000","244","","",""
"254039","1097552","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253792","1097552","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241059","1097552","2","","9999","1 fl oz","30000","30.5","","",""
"237112","1097552","1","","9999","1 cup","10205","244","","",""
"260315","1097553","5","","9999","Quantity not specified","90000","244","","",""
"254040","1097553","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253793","1097553","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241060","1097553","2","","9999","1 fl oz","30000","30.5","","",""
"237113","1097553","1","","9999","1 cup","10205","244","","",""
"260316","1097554","5","","9999","Quantity not specified","90000","170","","",""
"259571","1097554","1","","9999","1 4 oz container","64638","113","","",""
"247112","1097554","3","","9999","1 container, NFS","60598","170","","",""
"246228","1097554","2","","9999","1 6 oz container","60039","170","","",""
"237114","1097554","4","","9999","1 cup","10205","245","","",""
"260317","1097555","5","","9999","Quantity not specified","90000","150","","",""
"258627","1097555","1","","9999","1 5.3 oz container","64562","150","","",""
"247113","1097555","3","","9999","1 container, NFS","60598","150","","",""
"246229","1097555","2","","9999","1 6 oz container","60039","170","","",""
"237115","1097555","4","","9999","1 cup","10205","245","","",""
"260318","1097556","9","","9999","Quantity not specified","90000","170","","",""
"259572","1097556","1","","9999","1 4 oz container","64638","113","","",""
"247114","1097556","3","","9999","1 container, NFS","60598","170","","",""
"246230","1097556","2","","9999","1 6 oz container","60039","170","","",""
"237116","1097556","4","","9999","1 cup","10205","245","","",""
"260319","1097557","7","","9999","Quantity not specified","90000","170","","",""
"259573","1097557","1","","9999","1 4 oz container","64638","113","","",""
"247115","1097557","3","","9999","1 container, NFS","60598","170","","",""
"246231","1097557","2","","9999","1 6 oz container","60039","170","","",""
"237117","1097557","4","","9999","1 cup","10205","245","","",""
"260320","1097558","7","","9999","Quantity not specified","90000","170","","",""
"259574","1097558","1","","9999","1 4 oz container","64638","113","","",""
"247116","1097558","3","","9999","1 container, NFS","60598","170","","",""
"246232","1097558","2","","9999","1 6 oz container","60039","170","","",""
"237118","1097558","4","","9999","1 cup","10205","245","","",""
"260321","1097559","7","","9999","Quantity not specified","90000","170","","",""
"259575","1097559","1","","9999","1 4 oz container","64638","113","","",""
"247117","1097559","3","","9999","1 container, NFS","60598","170","","",""
"246233","1097559","2","","9999","1 6 oz container","60039","170","","",""
"237119","1097559","4","","9999","1 cup","10205","245","","",""
"260322","1097560","7","","9999","Quantity not specified","90000","170","","",""
"259576","1097560","1","","9999","1 4 oz container","64638","113","","",""
"247118","1097560","3","","9999","1 container, NFS","60598","170","","",""
"246234","1097560","2","","9999","1 6 oz container","60039","170","","",""
"237120","1097560","4","","9999","1 cup","10205","245","","",""
"260323","1097561","5","","9999","Quantity not specified","90000","150","","",""
"258628","1097561","1","","9999","1 5.3 oz container","64562","150","","",""
"247119","1097561","3","","9999","1 container, NFS","60598","150","","",""
"246235","1097561","2","","9999","1 6 oz container","60039","170","","",""
"237121","1097561","4","","9999","1 cup","10205","245","","",""
"260324","1097562","6","","9999","Quantity not specified","90000","150","","",""
"258629","1097562","1","","9999","1 5.3 oz container","64562","150","","",""
"247120","1097562","3","","9999","1 container, NFS","60598","150","","",""
"246236","1097562","2","","9999","1 6 oz container","60039","170","","",""
"237122","1097562","4","","9999","1 cup","10205","245","","",""
"260325","1097563","6","","9999","Quantity not specified","90000","150","","",""
"258630","1097563","1","","9999","1 5.3 oz container","64562","150","","",""
"247121","1097563","3","","9999","1 container, NFS","60598","150","","",""
"246237","1097563","2","","9999","1 6 oz container","60039","170","","",""
"237123","1097563","4","","9999","1 cup","10205","245","","",""
"260326","1097564","6","","9999","Quantity not specified","90000","150","","",""
"258631","1097564","1","","9999","1 5.3 oz container","64562","150","","",""
"247122","1097564","3","","9999","1 container, NFS","60598","150","","",""
"246238","1097564","2","","9999","1 6 oz container","60039","170","","",""
"237124","1097564","4","","9999","1 cup","10205","245","","",""
"260327","1097565","10","","9999","Quantity not specified","90000","170","","",""
"259577","1097565","1","","9999","1 4 oz container","64638","113","","",""
"247123","1097565","3","","9999","1 container, NFS","60598","170","","",""
"246239","1097565","2","","9999","1 6 oz container","60039","170","","",""
"237125","1097565","4","","9999","1 cup","10205","245","","",""
"260328","1097566","8","","9999","Quantity not specified","90000","170","","",""
"259578","1097566","1","","9999","1 4 oz container","64638","113","","",""
"247124","1097566","3","","9999","1 container, NFS","60598","170","","",""
"246240","1097566","2","","9999","1 6 oz container","60039","170","","",""
"237126","1097566","4","","9999","1 cup","10205","245","","",""
"260329","1097567","12","","9999","Quantity not specified","90000","170","","",""
"259579","1097567","2","","9999","1 4 oz container","64638","113","","",""
"255439","1097567","1","","9999","1 tube","64066","64","","",""
"247125","1097567","4","","9999","1 container, NFS","60598","170","","",""
"246241","1097567","3","","9999","1 6 oz container","60039","170","","",""
"237127","1097567","5","","9999","1 cup","10205","245","","",""
"260330","1097568","8","","9999","Quantity not specified","90000","170","","",""
"259580","1097568","1","","9999","1 4 oz container","64638","113","","",""
"247126","1097568","3","","9999","1 container, NFS","60598","170","","",""
"246242","1097568","2","","9999","1 6 oz container","60039","170","","",""
"237128","1097568","4","","9999","1 cup","10205","245","","",""
"260331","1097569","5","","9999","Quantity not specified","90000","150","","",""
"258632","1097569","1","","9999","1 5.3 oz container","64562","150","","",""
"247127","1097569","3","","9999","1 container, NFS","60598","150","","",""
"246243","1097569","2","","9999","1 6 oz container","60039","170","","",""
"237129","1097569","4","","9999","1 cup","10205","245","","",""
"260332","1097570","6","","9999","Quantity not specified","90000","150","","",""
"258633","1097570","1","","9999","1 5.3 oz container","64562","150","","",""
"247128","1097570","3","","9999","1 container, NFS","60598","150","","",""
"246244","1097570","2","","9999","1 6 oz container","60039","170","","",""
"237130","1097570","4","","9999","1 cup","10205","245","","",""
"260333","1097571","7","","9999","Quantity not specified","90000","150","","",""
"258634","1097571","2","","9999","1 5.3 oz container","64562","150","","",""
"255440","1097571","1","","9999","1 tube","64066","57","","",""
"247129","1097571","4","","9999","1 container, NFS","60598","150","","",""
"246245","1097571","3","","9999","1 6 oz container","60039","170","","",""
"237131","1097571","5","","9999","1 cup","10205","245","","",""
"260334","1097572","6","","9999","Quantity not specified","90000","150","","",""
"258635","1097572","1","","9999","1 5.3 oz container","64562","150","","",""
"247130","1097572","3","","9999","1 container, NFS","60598","150","","",""
"246246","1097572","2","","9999","1 6 oz container","60039","170","","",""
"237132","1097572","4","","9999","1 cup","10205","245","","",""
"260335","1097573","5","","9999","Quantity not specified","90000","170","","",""
"259581","1097573","1","","9999","1 4 oz container","64638","113","","",""
"247131","1097573","3","","9999","1 container, NFS","60598","170","","",""
"246247","1097573","2","","9999","1 6 oz container","60039","170","","",""
"237133","1097573","4","","9999","1 cup","10205","245","","",""
"260336","1097574","5","","9999","Quantity not specified","90000","170","","",""
"259582","1097574","1","","9999","1 4 oz container","64638","113","","",""
"247132","1097574","3","","9999","1 container, NFS","60598","170","","",""
"246248","1097574","2","","9999","1 6 oz container","60039","170","","",""
"237134","1097574","4","","9999","1 cup","10205","245","","",""
"260337","1097575","6","","9999","Quantity not specified","90000","170","","",""
"259583","1097575","2","","9999","1 4 oz container","64638","113","","",""
"255441","1097575","1","","9999","1 tube","64066","64","","",""
"247133","1097575","4","","9999","1 container, NFS","60598","170","","",""
"246249","1097575","3","","9999","1 6 oz container","60039","170","","",""
"237135","1097575","5","","9999","1 cup","10205","245","","",""
