"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"993304","1097585","","999","WWEIA Category description","Dips, gravies, other sauces"
"966740","1097586","2","1001","","regular or light"
"966739","1097586","1","1001","","greek yogurt based"
"985114","1097586","","999","WWEIA Category number","8412"
"993305","1097586","","999","WWEIA Category description","Dips, gravies, other sauces"
"966742","1097587","2","1001","","regular or light"
"966741","1097587","1","1001","","greek yogurt based"
"985115","1097587","","999","WWEIA Category number","8412"
"993306","1097587","","999","WWEIA Category description","Dips, gravies, other sauces"
"966743","1097588","1","1001","","Greek dip"
"985116","1097588","","999","WWEIA Category number","8412"
"993307","1097588","","999","WWEIA Category description","Dips, gravies, other sauces"
"966744","1097589","1","1001","","greek yogurt based"
"966745","1097589","2","1001","","regular or light"
"985117","1097589","","999","WWEIA Category number","8412"
"993308","1097589","","999","WWEIA Category description","Dips, gravies, other sauces"
"966747","1097590","2","1001","","with granola"
"966746","1097590","1","1001","","McDonald's Fruit 'n Yogurt Parfait"
"985118","1097590","","999","WWEIA Category number","1820"
"993309","1097590","","999","WWEIA Category description","Yogurt, regular"
"985119","1097591","","999","WWEIA Category number","5802"
"993310","1097591","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"966749","1097592","3","1001","","swirl"
"966751","1097592","5","1001","","scoop"
"966750","1097592","4","1001","","in a cup"
"966748","1097592","2","1001","","other flavors"
"985120","1097592","","999","WWEIA Category number","5802"
"993311","1097592","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"966752","1097593","1","1001","","in a cup"
"966753","1097593","2","1001","","scoop"
"985121","1097593","","999","WWEIA Category number","5802"
"993312","1097593","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"966755","1097594","2","1001","","swirl"
"966757","1097594","4","1001","","in a cup"
"966756","1097594","3","1001","","NS as to flavor"
"966754","1097594","1","1001","","other flavors"
"985122","1097594","","999","WWEIA Category number","5802"
"993313","1097594","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"966758","1097595","1","1001","","in a cup"
"985123","1097595","","999","WWEIA Category number","5802"
"993314","1097595","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"966759","1097596","1","1001","","all flavors"
"966760","1097596","2","1001","","prepackaged frozen yogurt cone"
"985124","1097596","","999","WWEIA Category number","5802"
"993315","1097596","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"966761","1097597","1","1001","","frozen yogurt bar, NFS"
"966763","1097597","3","1001","","other flavors"
"966765","1097597","5","1001","","with or without coating"
"966762","1097597","2","1001","","stick"
"966764","1097597","4","1001","","swirl"
"985125","1097597","","999","WWEIA Category number","5802"
"993316","1097597","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"966767","1097598","2","1001","","with or without coating"
"966766","1097598","1","1001","","stick"
"985126","1097598","","999","WWEIA Category number","5802"
"993317","1097598","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"966768","1097599","1","1001","","scooped or soft serve"
"985127","1097599","","999","WWEIA Category number","5802"
"993318","1097599","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"966769","1097600","1","1001","","other flavors"
"966770","1097600","2","1001","","swirl"
"966771","1097600","3","1001","","scooped or soft serve"
"985128","1097600","","999","WWEIA Category number","5802"
"993319","1097600","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"966773","1097601","2","1001","","swirl"
"966774","1097601","3","1001","","scooped or soft serve"
"966772","1097601","1","1001","","other flavors"
"985129","1097601","","999","WWEIA Category number","5802"
"993320","1097601","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"966775","1097602","1","1001","","scooped or soft serve"
"985130","1097602","","999","WWEIA Category number","5802"
"993321","1097602","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"966776","1097603","1","1001","","YoBaby Original, all flavors"
"985131","1097603","","999","WWEIA Category number","9010"
"993322","1097603","","999","WWEIA Category description","Baby food: yogurt"
"966777","1097604","1","1001","","YoBaby Plus Fruit & Cereal, NFS"
"985132","1097604","","999","WWEIA Category number","9010"
"993323","1097604","","999","WWEIA Category description","Baby food: yogurt"
"966778","1097605","1","1001","","YoBaby Plus Fruit & Cereal with iron"
"985133","1097605","","999","WWEIA Category number","9010"
"993324","1097605","","999","WWEIA Category description","Baby food: yogurt"
"966779","1097606","1","1001","","YoBaby Plus Fruit & Cereal with DHA"
"985134","1097606","","999","WWEIA Category number","9010"
"993325","1097606","","999","WWEIA Category description","Baby food: yogurt"
"966780","1097607","1","1001","","NS as to milk or drink"
"985135","1097607","","999","WWEIA Category number","1208"
"993326","1097607","","999","WWEIA Category description","Flavored milk, nonfat"
"985136","1097608","","999","WWEIA Category number","1202"
"993327","1097608","","999","WWEIA Category description","Flavored milk, whole"
"966781","1097609","4","1001","","2% fat"
"985137","1097609","","999","WWEIA Category number","1204"
"993328","1097609","","999","WWEIA Category description","Flavored milk, reduced fat"
"966782","1097610","1","1001","","nonfat milk"
"966783","1097610","2","1001","","skim"
"985138","1097610","","999","WWEIA Category number","1208"
"993329","1097610","","999","WWEIA Category description","Flavored milk, nonfat"
"966784","1097611","3","1001","","Hershey's Chocolate milk"
"966785","1097611","4","1001","","1% fat"
"985139","1097611","","999","WWEIA Category number","1206"
"993330","1097611","","999","WWEIA Category description","Flavored milk, lowfat"
"966787","1097612","2","1001","","less sugar"
"966786","1097612","1","1001","","TruMoo"
"985140","1097612","","999","WWEIA Category number","1206"
"993331","1097612","","999","WWEIA Category description","Flavored milk, lowfat"
"966790","1097613","3","1001","","1% fat"
"966788","1097613","1","1001","","NS as to type of milk"
"966789","1097613","2","1001","","regular, reduced, or less sugar"
"985141","1097613","","999","WWEIA Category number","1206"
"993332","1097613","","999","WWEIA Category description","Flavored milk, lowfat"
"966791","1097614","1","1001","","regular, reduced, or less sugar"
"966792","1097614","2","1001","","skim"
"985142","1097614","","999","WWEIA Category number","1208"
"993333","1097614","","999","WWEIA Category description","Flavored milk, nonfat"
"966793","1097615","1","1001","","NS as to type of milk"
"966794","1097615","2","1001","","1% fat"
"985143","1097615","","999","WWEIA Category number","1206"
"993334","1097615","","999","WWEIA Category description","Flavored milk, lowfat"
"966802","1097616","8","1001","","Dunkin Donuts "
"966800","1097616","6","1001","","McDonald's"
"966798","1097616","4","1001","","chocolate espanol"
"966803","1097616","9","1001","","made from syrup, tablet, or bar"
"966797","1097616","3","1001","","evaporated milk"
