"fdc_id","food_code","wweia_category_number","start_date","end_date"
"1097946","13120786","5802","2017-01-01","2018-12-31"
"1097947","13120788","5802","2017-01-01","2018-12-31"
"1097948","13120790","5802","2017-01-01","2018-12-31"
"1097949","13120792","5802","2017-01-01","2018-12-31"
"1097950","13120800","1402","2017-01-01","2018-12-31"
"1097951","13120810","1402","2017-01-01","2018-12-31"
"1097952","13121000","5802","2017-01-01","2018-12-31"
"1097953","13121100","5802","2017-01-01","2018-12-31"
"1097954","13121120","5802","2017-01-01","2018-12-31"
"1097955","13121300","5802","2017-01-01","2018-12-31"
"1097956","13121400","5802","2017-01-01","2018-12-31"
"1097957","13126000","5802","2017-01-01","2018-12-31"
"1097958","13130100","5802","2017-01-01","2018-12-31"
"1097959","13130300","5802","2017-01-01","2018-12-31"
"1097960","13130310","5802","2017-01-01","2018-12-31"
"1097961","13130700","5802","2017-01-01","2018-12-31"
"1097962","13135000","5802","2017-01-01","2018-12-31"
"1097963","13135010","5802","2017-01-01","2018-12-31"
"1097964","13140000","5802","2017-01-01","2018-12-31"
"1097965","13140100","5802","2017-01-01","2018-12-31"
"1097966","13140115","5802","2017-01-01","2018-12-31"
"1097967","13140700","5802","2017-01-01","2018-12-31"
"1097968","13140710","5802","2017-01-01","2018-12-31"
"1097969","13140900","5802","2017-01-01","2018-12-31"
"1097970","13142100","5802","2017-01-01","2018-12-31"
"1097971","13142110","5802","2017-01-01","2018-12-31"
"1097972","13150000","5802","2017-01-01","2018-12-31"
"1097973","13161600","5802","2017-01-01","2018-12-31"
"1097974","13200110","5804","2017-01-01","2018-12-31"
"1097975","13210110","5804","2017-01-01","2018-12-31"
"1097976","13210280","5804","2017-01-01","2018-12-31"
"1097977","13210300","5804","2017-01-01","2018-12-31"
"1097978","13210350","5804","2017-01-01","2018-12-31"
"1097979","13210370","5804","2017-01-01","2018-12-31"
"1097980","13210410","5804","2017-01-01","2018-12-31"
"1097981","13210450","5804","2017-01-01","2018-12-31"
"1097982","13210520","5804","2017-01-01","2018-12-31"
